Customer Name,Recency,Frequency,Monetary,Cluster
"Blick, Pacocha and Schowalter Pharmaceutical Limited",1,388,12122039.0,0
"Blick, Pacocha and Schowalter Pharmacy",1,385,12145917.0,0
"Block, Thiel and Kuphal Pharm",1,372,19367044.0,0
"Block, Thiel and Kuphal Pharmaceutical Limited",1,382,17154476.0,0
Block-Romaguera ,1,412,21344191.0,0
Block-Romaguera Pharmaceutical Limited,732,217,3611190.0,1
Block-Romaguera Pharmacy,1,382,15793125.0,0
"Bogan, Jacobs and Kris Pharmaceutical Limited",1,380,13625131.0,0
"Bogan, Jacobs and Kris Pharmaceutical Ltd",1,378,31085593.0,0
"Bogan, Jacobs and Kris Pharmacy",732,207,2456080.0,1
Bosco-Marquardt Pharm,732,196,3124277.0,1
Bosco-Marquardt Pharmaceutical Limited,1,368,25433148.0,0
Bosco-Marquardt Pharmaceutical Ltd,1,386,29978482.0,0
Botsford PLC ,1,427,24768128.0,0
Botsford PLC Pharmacy,732,188,3338687.0,1
Botsford and Sons ,1,399,20852469.0,0
Botsford and Sons Pharma Plc,1,398,16780942.0,0
Botsford and Sons Pharmaceutical Ltd,732,206,4444486.0,1
Boyer and Sons ,1,419,17718374.0,0
Boyer and Sons Pharmaceutical Limited,732,229,6574331.0,1
Boyer and Sons Pharmaceutical Ltd,1,425,15911451.0,0
"Brakus, Rempel and Harber Pharm",1,400,13020611.0,0
"Brakus, Rempel and Harber Pharma Plc",732,175,1780951.0,1
"Brakus, Rempel and Harber Pharmacy",1,415,18095126.0,0
Breitenberg-Kuhn ,1,377,14175297.0,0
Breitenberg-Kuhn Pharma Plc,1,365,19173245.0,0
Breitenberg-Kuhn Pharmacy,732,208,3648594.0,1
Buckridge Inc Pharm,1,373,18752650.0,0
Buckridge Inc Pharmaceutical Limited,1,417,19855032.0,0
"Buckridge, Dach and Carroll ",1,399,18470960.0,0
"Buckridge, Dach and Carroll Pharmaceutical Limited",732,195,2606825.0,1
"Buckridge, Dach and Carroll Pharmaceutical Ltd",1,407,25142017.0,0
"Buckridge, Hand and Hyatt ",1,377,13511491.0,0
"Buckridge, Hand and Hyatt Pharma Plc",732,210,4539521.0,1
"Buckridge, Hand and Hyatt Pharmaceutical Ltd",1,417,36107411.0,0
Buckridge-Davis ,732,197,2894720.0,1
Buckridge-Davis Pharmaceutical Limited,1,403,26096674.0,0
Buckridge-Davis Pharmaceutical Ltd,1,412,17481679.0,0
Buckridge-Strosin Pharma Plc,1,412,30221186.0,0
Buckridge-Strosin Pharmaceutical Limited,732,184,2717132.0,1
Buckridge-Strosin Pharmaceutical Ltd,1,355,33261230.3419,0
Carter-Conn Pharm,1,376,17098169.0,0
Carter-Conn Pharma Plc,732,222,6825490.0,1
Carter-Conn Pharmaceutical Ltd,1,402,16124613.0,0
Cartwright-Fay ,1,400,17323557.0,0
Cartwright-Fay Pharmaceutical Ltd,1,372,16730721.0,0
"Casper, Hyatt and Jakubowski Pharmaceutical Limited",732,203,2748326.0,1
"Casper, Hyatt and Jakubowski Pharmaceutical Ltd",1,405,24533946.0,0
"Casper, Hyatt and Jakubowski Pharmacy",1,348,16258870.0,0
Cassin PLC Pharma Plc,1,401,26126485.0,0
Cassin PLC Pharmaceutical Limited,1,408,21760605.0,0
Cassin PLC Pharmacy,732,218,3055438.0,1
Collins-Schmidt Pharma Plc,1,373,13474719.361,0
Collins-Schmidt Pharmaceutical Limited,1,386,12781136.0,0
"Corkery, Trantow and Ferry Pharm",1,387,26198762.0,0
"Corkery, Trantow and Ferry Pharma Plc",1,375,20195908.0,0
Corkery-Kovacek Pharm,1,436,30091420.0,0
Corkery-Kovacek Pharma Plc,1,384,22438560.0,0
"Cormier, Dietrich and Zulauf Pharma Plc",732,184,4507086.0,1
"Cormier, Dietrich and Zulauf Pharmaceutical Limited",1,377,19559458.0,0
"Cormier, Dietrich and Zulauf Pharmacy",1,393,28329883.0,0
Cremin-Zemlak Pharma Plc,1,370,14709283.0,0
Cremin-Zemlak Pharmaceutical Limited,1,366,16188040.0,0
Crist Inc ,732,217,5137959.0,1
Crist Inc Pharma Plc,1,381,14113368.0,0
Crist Inc Pharmaceutical Ltd,1,371,13297454.0,0
Crist LLC ,1,363,14504025.0,0
Crist LLC Pharma Plc,1,367,17935445.0,0
Crist Ltd Pharma Plc,1,374,14899138.0,0
"Crist, Wisoky and Nolan Pharm",1,371,22827209.0,0
"Crist, Wisoky and Nolan Pharmaceutical Limited",1,379,15833467.0,0
"Crist, Wisoky and Nolan Pharmaceutical Ltd",732,222,4637033.0,1
Crona Group ,1,378,15164236.5,0
Crona Group Pharma Plc,732,206,3129089.0,1
Crona PLC Pharma Plc,732,210,2047523.0,1
Crona PLC Pharmaceutical Ltd,1,408,21129596.0,0
Crona PLC Pharmacy,1,380,15562126.0,0
Cummings LLC ,1,342,15615225.0,0
Cummings LLC Pharmaceutical Ltd,1,368,20236110.0,0
D'Amore and Sons ,732,209,2652079.0,1
D'Amore and Sons Pharm,1,428,26467886.0,0
D'Amore and Sons Pharmacy,1,421,14282238.0,0
Dach Ltd Pharm,1,399,16935870.0,0
Dach Ltd Pharma Plc,1,413,20993338.0,0
Dach PLC ,1,370,18546157.0,0
Dach PLC Pharm,1,376,26222321.0,0
"Daniel, Baumbach and Nitzsche ",1,376,23306130.0,0
"Daniel, Baumbach and Nitzsche Pharmacy",1,374,13915632.5089,0
Daugherty-Rempel Pharm,1,415,23762988.0,0
Daugherty-Rempel Pharma Plc,732,191,4546602.0,1
Daugherty-Rempel Pharmaceutical Limited,1,386,17559603.0,0
"Denesik, Walter and Beatty ",1,382,12650974.0,0
"Denesik, Walter and Beatty Pharma Plc",732,210,3484514.0,1
"Denesik, Walter and Beatty Pharmacy",1,408,15682041.0,0
Denesik-Hintz Pharm,732,222,2392035.0,1
Denesik-Hintz Pharma Plc,1,380,14681500.0,0
Denesik-Hintz Pharmaceutical Limited,1,356,14276666.0,0
Doyle-Tillman Pharm,1,379,17738035.0,0
Doyle-Tillman Pharmaceutical Limited,1,404,21692895.0,0
Doyle-Tillman Pharmaceutical Ltd,732,219,7158142.0,1
Durgan-Rice Pharmaceutical Ltd,1,389,19881661.979592,0
Durgan-Rice Pharmacy,1,391,18052321.0,0
"Effertz, Heaney and Tillman Pharm",1,397,16753635.0,0
"Effertz, Heaney and Tillman Pharma Plc",1,418,17984317.0,0
"Effertz, Heaney and Tillman Pharmaceutical Ltd",732,218,3432986.0,1
Emard-O'Connell Pharm,1,388,19971681.0,0
Emard-O'Connell Pharmaceutical Ltd,1,408,20531534.0,0
Emard-O'Connell Pharmacy,732,196,3676546.0,1
Erdman PLC ,1,370,18568129.0,0
Erdman PLC Pharma Plc,1,374,15429328.0,0
Erdman PLC Pharmacy,732,198,3183228.0,1
"Erdman, Senger and Oberbrunner Pharm",732,204,4230846.0,1
"Erdman, Senger and Oberbrunner Pharmaceutical Ltd",1,353,14186478.0,0
"Erdman, Senger and Oberbrunner Pharmacy",1,403,22043224.0,0
Fadel-West ,732,172,3189603.0,1
Fadel-West Pharmaceutical Ltd,1,365,36767294.0,0
Fadel-West Pharmacy,1,369,40355816.0,0
Fahey-Flatley ,1,381,14572760.0,0
Fahey-Flatley Pharmaceutical Ltd,1,405,21702505.0,0
Fahey-Prosacco Pharmaceutical Limited,1,364,24011986.0,0
Fahey-Prosacco Pharmacy,1,389,18990780.0,0
Feest PLC ,732,183,2021466.0,1
Feest PLC Pharmaceutical Limited,1,381,22126737.0,0
Feest PLC Pharmaceutical Ltd,1,393,18496533.0,0
Feest-Kshlerin ,1,393,13525280.0,0
Feest-Kshlerin Pharma Plc,1,372,10446536.0,0
Feest-Kshlerin Pharmaceutical Ltd,732,205,5283949.0,1
Feest-Roob Pharmaceutical Limited,1,419,16699897.0,0
Feest-Roob Pharmaceutical Ltd,732,196,2705799.0,1
Feest-Roob Pharmacy,1,377,12432676.0,0
Franecki Inc Pharma Plc,1,407,14514932.0,0
Franecki Inc Pharmacy,1,396,16460568.0,0
Friesen Group ,1,396,17341092.0,0
Friesen Group Pharm,1,392,24254576.0,0
Fritsch LLC Pharm,1,401,18245919.0,0
Fritsch LLC Pharmaceutical Ltd,1,377,24462152.0,0
"Fritsch, Hodkiewicz and Sipes Pharma Plc",1,437,23370239.0,0
"Fritsch, Hodkiewicz and Sipes Pharmacy",1,365,13618070.0,0
Fritsch-Hauck Pharm,1,346,13243526.0,0
Fritsch-Hauck Pharma Plc,732,207,2973355.0,1
Fritsch-Hauck Pharmaceutical Ltd,1,367,20050325.0,0
Funk PLC Pharm,1,408,17589925.00639,0
Funk PLC Pharma Plc,1,407,15286470.0,0
Funk PLC Pharmaceutical Limited,732,214,4191722.0,1
Funk and Sons Pharm,1,393,13871742.0,0
Funk and Sons Pharmaceutical Limited,732,204,3182287.0,1
Funk and Sons Pharmacy,1,390,27629333.6,0
"Funk, Ratke and Heaney ",1,386,29152180.0,0
"Funk, Ratke and Heaney Pharma Plc",1,397,18351514.0,0
"Funk, Ratke and Heaney Pharmacy",732,206,3897042.0,1
"Gerhold, Mills and Effertz ",1,388,10508296.0,0
"Gerhold, Mills and Effertz Pharm",732,186,3138581.0,1
"Gerhold, Mills and Effertz Pharma Plc",1,382,10465861.0,0
Gerlach LLC ,732,220,3319091.0,1
Gerlach LLC Pharma Plc,1,408,15092746.0,0
Gerlach LLC Pharmacy,1,388,18156445.25,0
Gerlach PLC Pharmaceutical Ltd,1,381,18232829.0,0
Gibson-Hill ,1,391,18790176.0,0
Gibson-Hill Pharma Plc,732,227,3867089.0,1
Gibson-Hill Pharmaceutical Limited,1,406,24554301.0,0
Gleason PLC Pharma Plc,1,382,18345826.0,0
Gleason PLC Pharmaceutical Limited,1,378,22282456.0,0
"Gleichner, Bahringer and Morar Pharma Plc",732,217,3312361.0,1
"Gleichner, Bahringer and Morar Pharmaceutical Limited",1,388,43779381.0,0
"Gleichner, Bahringer and Morar Pharmacy",1,384,15652843.0,0
Goldner-Tillman Pharm,1,396,37935553.0,0
Goldner-Tillman Pharmacy,1,399,22575320.0,0
Gottlieb-Cruickshank Pharm,1,386,16287002.0,0
Gottlieb-Cruickshank Pharma Plc,732,213,2848546.0,1
Gottlieb-Koss Pharm,1,391,30339224.0,0
Gottlieb-Koss Pharmacy,1,373,17658742.0,0
Graham and Sons Pharm,1,393,21646429.68342,0
Graham and Sons Pharma Plc,1,385,18293117.0,0
Graham and Sons Pharmacy,732,201,2682005.0,1
"Greenholt, Donnelly and O'Reilly Pharmaceutical Limited",732,211,2195889.0,1
"Greenholt, Donnelly and O'Reilly Pharmaceutical Ltd",1,375,17688642.0,0
"Grimes, Jacobs and Durgan Pharm",732,190,2243375.0,1
"Grimes, Jacobs and Durgan Pharma Plc",1,389,18473363.0,0
Gulgowski-Vandervort Pharm,1,428,16454043.0,0
Gulgowski-Vandervort Pharma Plc,1,384,26263639.0,0
"Haag, Bradtke and Terry ",1,429,36155634.0,0
"Haag, Bradtke and Terry Pharm",1,405,11107603.0,0
"Haag, Bradtke and Terry Pharmacy",732,200,2105639.0,1
"Hahn, Rutherford and Gislason Pharm",1,388,12465536.0,0
"Hahn, Rutherford and Gislason Pharmaceutical Limited",732,200,2348617.0,1
"Hahn, Rutherford and Gislason Pharmacy",1,401,13647046.0,0
Haley PLC Pharmaceutical Limited,732,188,3083122.0,1
Haley PLC Pharmacy,1,370,23473886.0,0
"Hammes, Bashirian and Pacocha ",1,384,13911219.0,0
"Hammes, Bashirian and Pacocha Pharmacy",1,383,11667849.0,0
Hane Ltd ,1,398,21229550.244147,0
Hane Ltd Pharmaceutical Ltd,1,368,18353020.0,0
Hansen Group Pharm,732,211,3631981.0,1
Hansen Group Pharmacy,1,399,17569970.0,0
"Hansen, Fadel and Schroeder Pharm",732,210,2225392.0,1
"Hansen, Fadel and Schroeder Pharma Plc",1,399,18012485.0,0
"Hansen, Fadel and Schroeder Pharmaceutical Ltd",1,412,18099093.0,0
"Harris, Daugherty and Okuneva Pharm",1,408,27261177.0,0
"Harris, Daugherty and Okuneva Pharma Plc",732,197,1948473.0,1
"Harris, Daugherty and Okuneva Pharmaceutical Limited",1,374,17697168.0,0
Harris-Conroy Pharm,1,421,23313821.0,0
Harris-Conroy Pharmacy,1,383,18059065.0,0
Hartmann-Wolf ,732,192,2101036.0,1
Hartmann-Wolf Pharmaceutical Limited,1,394,15002150.0,0
Hartmann-Wolf Pharmacy,1,407,22818672.0,0
Hayes-Kilback Pharma Plc,1,399,20511137.0,0
Hayes-Kilback Pharmaceutical Limited,1,379,37181108.0,0
Hayes-Kilback Pharmaceutical Ltd,732,217,3964929.0,1
"Heathcote, Grant and Witting Pharm",732,221,3030441.0,1
"Heathcote, Grant and Witting Pharmaceutical Limited",1,396,22097548.0,0
"Heathcote, Grant and Witting Pharmacy",1,364,29273736.0,0
"Heathcote, Kovacek and Parker ",1,409,16331539.0,0
Heidenreich Group Pharm,1,399,14083983.63317,0
Heidenreich Group Pharmaceutical Ltd,732,209,3849892.0,1
Heidenreich Group Pharmacy,1,400,30216194.0,0
Heller-Abernathy ,732,210,4394462.0,1
Heller-Abernathy Pharma Plc,1,400,17794218.0,0
Heller-Abernathy Pharmaceutical Limited,1,402,20685879.0,0
"Herman, Rice and Rippin ",732,206,2270513.0,1
"Herman, Rice and Rippin Pharm",1,409,20974624.0,0
"Herman, Rice and Rippin Pharmaceutical Limited",1,401,27376951.0,0
Herman-Koss Pharm,732,201,3426586.0,1
Herman-Koss Pharmaceutical Limited,1,389,20436900.04348,0
Herman-Koss Pharmaceutical Ltd,1,392,22849800.0,0
Hermiston LLC ,732,214,3507057.0,1
Hermiston LLC Pharm,1,366,14705734.0,0
Hermiston LLC Pharmaceutical Limited,1,384,18657693.7652,0
Hermiston LLC Pharmaceutical Ltd,1,371,16170352.0,0
Hermiston and Sons Pharma Plc,732,219,2715991.0,1
Hermiston and Sons Pharmaceutical Ltd,1,403,16744798.0,0
Hermiston and Sons Pharmacy,1,392,17283582.0,0
Hill Ltd ,732,213,3483214.0,1
Hill Ltd Pharma Plc,1,348,13628308.0,0
Hill Ltd Pharmaceutical Limited,1,373,15510941.0,0
Hill-Daniel ,1,374,20537571.0,0
Hill-Daniel Pharmaceutical Ltd,1,380,27600353.0,0
"Hills, Stroman and Ernser ",1,390,15665366.0,0
"Hills, Stroman and Ernser Pharm",732,197,2448488.0,1
"Hills, Stroman and Ernser Pharmaceutical Ltd",1,378,15004858.0,0
"Hirthe, Williamson and Macejkovic ",1,419,20701441.0,0
"Hirthe, Williamson and Macejkovic Pharma Plc",732,206,2735314.0,1
"Hirthe, Williamson and Macejkovic Pharmacy",1,391,19467179.0,0
Hoeger Ltd ,1,382,23303292.0,0
Hoeger Ltd Pharm,1,372,30914624.0,0
Homenick-Larson ,1,392,16467605.0,0
Homenick-Larson Pharmaceutical Ltd,1,390,17315988.0,0
Huel Inc Pharm,1,392,24169351.0,0
Huels-Klein ,1,403,23946371.0,0
Huels-Klein Pharmaceutical Ltd,1,391,14550335.0,0
Jacobs-Jones Pharma Plc,1,382,18970897.0,0
Jacobs-Jones Pharmaceutical Ltd,1,361,17303434.0,0
Jakubowski Inc Pharma Plc,1,416,13945119.0,0
Jakubowski Inc Pharmaceutical Limited,732,226,4784385.0,1
Jakubowski Inc Pharmacy,1,380,22199526.0,0
Jast-Cruickshank Pharma Plc,732,207,3665136.0,1
Jast-Cruickshank Pharmaceutical Ltd,1,382,19451890.0,0
Jast-Cruickshank Pharmacy,1,365,12331196.0,0
"Johns, Mueller and Nitzsche ",1,384,24712891.0,0
"Johns, Mueller and Nitzsche Pharma Plc",1,366,17268947.0,0
"Johnson, Friesen and Torphy Pharm",1,379,12656990.0,0
"Johnson, Friesen and Torphy Pharma Plc",732,189,3226534.0,1
Keeling LLC Pharmaceutical Limited,1,422,26532373.0,0
Keeling LLC Pharmacy,732,184,4530078.0,1
"Kertzmann, Quitzon and Harris ",1,395,20021173.0,0
"Kertzmann, Quitzon and Harris Pharma Plc",732,193,2819581.0,1
"Kertzmann, Quitzon and Harris Pharmaceutical Limited",1,382,14835040.0,0
Kertzmann-Ward Pharma Plc,732,197,3495786.0,1
Kertzmann-Ward Pharmaceutical Limited,1,378,23151949.0,0
Kihn Group ,1,401,26209384.0,0
Kihn Group Pharm,1,379,11299828.0,0
Kihn Group Pharmaceutical Limited,1,390,21723459.0,0
"Kilback, Beer and Batz ",1,369,23566905.0,0
"Kilback, Beer and Batz Pharma Plc",732,204,5009905.0,1
"Kirlin, Hamill and Dickinson Pharma Plc",1,361,13231664.0,0
"Kirlin, Hamill and Dickinson Pharmaceutical Limited",1,363,12394267.0,0
Kling Inc ,1,374,15751199.0,0
Kling Inc Pharm,1,388,13323467.0,0
Kling Inc Pharmaceutical Ltd,732,203,4017753.0,1
"Koch, Borer and Hagenes ",732,206,2787706.0,1
"Koch, Borer and Hagenes Pharm",1,383,26877575.0,0
"Koch, Borer and Hagenes Pharmaceutical Ltd",1,406,17054360.0,0
Koch-Osinski Pharm,732,185,2336644.0,1
Koch-Osinski Pharmaceutical Ltd,1,392,13539952.0,0
Koch-Osinski Pharmacy,1,370,18643316.0,0
"Koelpin, Luettgen and Abernathy Pharmaceutical Ltd",1,413,20073196.0,0
"Koelpin, Luettgen and Abernathy Pharmacy",1,389,18731547.0,0
Kohler-Bednar Pharm,1,375,26531140.0,0
Kohler-Bednar Pharmaceutical Ltd,1,406,21231109.0,0
Konopelski-Blick ,1,374,12360135.0,0
Konopelski-Blick Pharmaceutical Limited,1,377,14748118.0,0
Koss Ltd Pharma Plc,1,403,18642972.0,0
Koss Ltd Pharmaceutical Limited,732,202,6361234.0,1
Koss Ltd Pharmaceutical Ltd,1,397,20745807.31658,0
Koss-Beier ,732,230,3560602.0,1
Koss-Beier Pharmaceutical Limited,1,394,12833771.0,0
Koss-Beier Pharmacy,1,408,22042100.202429,0
Kozey Ltd Pharma Plc,1,410,36209584.0,0
Kozey Ltd Pharmaceutical Ltd,732,202,3927833.0,1
Kozey Ltd Pharmacy,1,372,21782008.0,0
Kozey-Emmerich ,1,388,20673989.0,0
Kozey-Emmerich Pharmacy,1,389,24471675.0,0
Kozey-Schroeder ,732,211,2692556.0,1
Kozey-Schroeder Pharm,1,370,14886170.0,0
Kozey-Schroeder Pharma Plc,1,372,14723207.0,0
Kreiger Inc ,1,337,15567095.0,0
Kreiger Inc Pharm,1,395,20444291.0,0
Kreiger Inc Pharma Plc,732,224,7063000.0,1
Kris LLC Pharm,1,431,20255777.0,0
Kris LLC Pharmaceutical Limited,1,409,13490977.0,0
Kris LLC Pharmaceutical Ltd,1,354,15762953.0,0
Kris LLC Pharmacy,1,364,18272447.0,0
"Kshlerin, Ryan and Leuschke ",1,422,16996416.0,0
"Kshlerin, Ryan and Leuschke Pharm",1,382,15476722.0,0
"Kshlerin, Ryan and Leuschke Pharma Plc",732,212,3293958.0,1
"Kub, Von and Herzog Pharmaceutical Limited",1,373,19622265.0,0
"Kub, Von and Herzog Pharmaceutical Ltd",1,369,17819138.0,0
"Kub, Von and Herzog Pharmacy",732,192,3602060.0,1
Kuhic LLC ,1,372,17671833.0,0
Kuhic LLC Pharma Plc,732,189,2423879.0,1
Kuhic LLC Pharmaceutical Limited,1,404,11710499.77551,0
Kunze PLC Pharm,732,214,3501226.0,1
Kunze PLC Pharma Plc,1,351,13453584.0,0
"Kuphal, D'Amore and Bode Pharm",1,409,28307927.0,0
"Kuphal, D'Amore and Bode Pharmaceutical Ltd",732,187,3400026.0,1
"Kuphal, D'Amore and Bode Pharmacy",1,418,15316826.0,0
"Kuphal, Herzog and Purdy ",1,421,40796789.0,0
"Kuphal, Herzog and Purdy Pharmaceutical Limited",1,392,24833458.0,0
"Kutch, Daniel and Ortiz Pharm",1,353,16809160.0,0
Kutch-Marks Pharm,732,191,3231751.0,1
Kutch-Marks Pharma Plc,1,395,15513302.0,0
Kutch-Marks Pharmaceutical Limited,1,385,20617497.0,0
"Langworth, Olson and Satterfield Pharm",1,385,15772110.0,0
"Langworth, Olson and Satterfield Pharmacy",1,366,31072449.0,0
Leannon-West ,1,408,17512900.0,0
Leannon-West Pharmaceutical Limited,1,371,25826483.0,0
Leannon-West Pharmacy,732,205,2559759.0,1
"Lebsack, Yost and Heller Pharma Plc",1,376,19922088.0,0
"Lebsack, Yost and Heller Pharmaceutical Limited",732,204,3206856.0,1
Leffler-Russel Pharm,732,220,2379629.0,1
Leffler-Russel Pharmaceutical Limited,1,420,25721319.0,0
Leffler-Russel Pharmaceutical Ltd,1,390,20622800.0,0
Legros-Runte Pharmaceutical Limited,1,374,16007135.102041,0
Legros-Runte Pharmaceutical Ltd,1,371,14770636.0,0
Lemke Ltd Pharm,732,186,2345679.0,1
Lemke Ltd Pharma Plc,1,400,20699395.0,0
Lemke Ltd Pharmaceutical Limited,1,404,15071628.0,0
Lesch PLC Pharma Plc,1,369,16539119.33198,0
Lesch PLC Pharmaceutical Ltd,732,213,3107873.0,1
Lesch PLC Pharmacy,732,189,3230884.0,1
Leuschke PLC Pharm,1,357,12135998.0,0
Leuschke PLC Pharmaceutical Ltd,1,382,17277381.0,0
Leuschke PLC Pharmacy,732,185,5137740.0,1
"Leuschke, Waters and Schowalter Pharma Plc",1,399,20001994.0,0
"Leuschke, Waters and Schowalter Pharmaceutical Ltd",732,206,4129060.0,1
"Leuschke, Waters and Schowalter Pharmacy",1,378,23867707.0,0
Lindgren-Simonis Pharm,732,211,4571771.0,1
Lindgren-Simonis Pharmacy,1,404,15471141.0,0
Lockman Ltd ,732,202,2957683.0,1
Lockman Ltd Pharm,1,392,14684247.0,0
Lockman Ltd Pharma Plc,1,398,17461646.0,0
Lockman-Welch ,1,387,15920169.0,0
Lockman-Welch Pharm,732,193,2837300.0,1
Lockman-Welch Pharmaceutical Limited,1,411,17335790.0,0
Mann-Waelchi Pharm,732,194,2728045.0,1
Mann-Waelchi Pharma Plc,1,422,17692534.0,0
Mann-Waelchi Pharmacy,1,397,18720448.0,0
Mante-Grady Pharm,732,214,3553977.0,1
Mante-Grady Pharma Plc,1,384,18523791.0,0
Mante-Grady Pharmaceutical Ltd,1,372,16037517.0,0
Marquardt PLC ,1,398,18752095.0,0
Marquardt PLC Pharmaceutical Ltd,1,373,13589800.0,0
Marquardt-Ryan Pharm,1,418,12679857.0,0
Marquardt-Ryan Pharma Plc,1,404,33961522.0,0
Marquardt-Ryan Pharmaceutical Ltd,732,175,3454170.0,1
Mayert-Weber ,1,381,15742177.0,0
Mayert-Weber Pharmaceutical Ltd,1,429,23393254.0,0
"McClure, Zemlak and Dibbert Pharma Plc",732,189,3536029.0,1
"McClure, Zemlak and Dibbert Pharmaceutical Limited",732,213,2530886.0,1
"McClure, Zemlak and Dibbert Pharmacy",1,358,13354207.0,0
McCullough LLC Pharma Plc,732,206,3408632.0,1
McCullough LLC Pharmaceutical Limited,1,391,13922199.0,0
McCullough LLC Pharmaceutical Ltd,1,370,26009596.0,0
McDermott Group Pharmaceutical Ltd,1,409,18297390.0,0
McDermott Group Pharmacy,1,392,15516544.0,0
McDermott Inc Pharma Plc,1,427,29943117.0,0
McDermott Inc Pharmacy,1,404,31550539.0,0
McKenzie-Zemlak Pharm,1,418,17622490.8,0
McKenzie-Zemlak Pharma Plc,1,393,28444161.0,0
Medhurst-Beer ,1,401,19090504.0,0
Medhurst-Beer Pharm,1,376,28268206.0,0
Medhurst-Beer Pharmaceutical Limited,732,157,3694840.0,1
Miller-Satterfield Pharm,1,388,16786054.0,0
Miller-Satterfield Pharma Plc,732,210,3091263.0,1
Miller-Satterfield Pharmaceutical Limited,1,420,21825298.0,0
Mills Inc Pharma Plc,732,195,4170514.0,1
Mills Inc Pharmaceutical Ltd,1,385,45939009.0,0
Mills Inc Pharmacy,1,385,24461745.0,0
"Moen, Murazik and Smith ",732,196,4581024.0,1
"Moen, Murazik and Smith Pharm",1,395,50885320.0,0
"Moen, Murazik and Smith Pharmaceutical Ltd",1,392,17536137.8882,0
Monahan Ltd ,732,191,2596736.0,1
Monahan Ltd Pharma Plc,1,392,22617294.0,0
Monahan Ltd Pharmaceutical Ltd,1,400,18213409.0,0
Moore PLC Pharm,1,344,11821594.0,0
Moore PLC Pharmaceutical Ltd,732,181,2513717.0,1
Mraz Group Pharma Plc,1,400,23133178.0,0
Mraz Group Pharmaceutical Limited,1,376,20423132.0,0
Mraz Group Pharmacy,732,212,3907690.0,1
Mraz-Kutch Pharm,732,199,2262808.0,1
Mraz-Kutch Pharma Plc,1,378,93561780.0,0
Mraz-Kutch Pharmacy,1,393,11938923.0,0
Murray PLC ,1,390,12013852.0,0
Murray PLC Pharma Plc,1,404,21289048.0,0
Nader-Borer Pharm,1,402,25575623.0,0
